Morocco,12328532,13857142,15302947,16695003,18210754,20019847,22037610,23961820,25791494,26667048,28175263,29512368,30869346,32409639,34318082,34803322
Mozambique,7388695,8030025,8756481,9595762,10632932,11848331,12853780,13002553,14071231,15217044,17136780,19139658,21547463,24221405,27212382,28010691
Myanmar,20986123,22867741,25128116,27680144,30428034,33369712,36468888,39362142,41711465,42712223,44959935,47140220,48846474,50155896,51924182,52403669
Namibia,602544,665282,737886,829441,927503,1012672,1111132,1302741,1513721,1606718,1810566,1962147,2055734,2173170,2370992,2425561
Nauru,4433,5500,6241,6743,7156,7488,8007,8752,9544,9863,10054,10073,10101,10025,11853,12475
Nepal,10063011,10728197,11534264,12499429,13621110,14902163,16347242,17873667,19773772,20867130,22856305,24566342,25940618,27023137,28323241,28656282
Netherlands,11486631,12127120,12729721,13328593,13774037,14149800,14424211,14760094,15184166,15382838,15707209,16148929,16346101,16615394,16865008,16939923
New Caledonia,79000,88100,99500,125500,134000,140050,151650,163650,179799,189482,205279,221490,235000,250000,268000,273000
New Zealand,2371800,2585400,2748100,2903900,3110500,3112900,3227100,3283400,3531700,3620000,3815000,3948500,4184600,4350700,4509700,4595700
Nicaragua,1774699,2002119,2256782,2549774,2884155,3249910,3619253,3968454,4331277,4520725,4869626,5171734,5450211,5737723,6013997,6082035
Niger,3388764,3802640,4263745,4768078,5334918,5988904,6720344,7540253,8549424,9151763,10556549,12206002,14132064,16425578,19148219,19896965
Nigeria,45137812,49066059,53505978,58662603,65226229,73460724,81497739,90450281,100221563,105355783,116385750,128666710,142614094,158578261,176460502,181181744
Northern Mariana Islands,10035,10857,12257,14040,15234,16920,26302,37134,47919,53380,65474,68763,61688,54424,54468,54816
Norway,3581239,3694339,3816486,3933004,4026152,4085620,4140099,4209488,4286401,4336613,4431464,4538159,4660677,4889252,5137232,5188607
Oman,551740,608887,679597,776383,927439,1154379,1431077,1678116,1983277,2148428,2251875,2334285,2582991,3041460,3960925,4199810
Pakistan,44908293,49551904,55042397,61338261,68813220,78068144,89228949,101474835,113747135,119769556,132253264,144654143,157093993,170560182,185546257,189380513
Palau,9642,10593,11205,11852,12285,12194,13372,14490,15894,16806,18524,19574,20012,20470,21094,21288
Panama,1132921,1276276,1434657,1607834,1791453,1978578,2170409,2368618,2576018,2684183,2912328,3149265,3391905,3643222,3903986,3969249
Papua New Guinea,2010677,2186340,2403595,2659851,2957339,3304473,3694041,4100729,4535520,4770606,5291178,5862316,6470272,7108239,7755785,7919825
Paraguay,1902875,2114095,2350901,2596739,2861581,3180630,3567752,3994331,4432736,4651225,5089310,5508611,5882796,6209877,6552584,6639119
Peru,10061515,11281015,12629329,14072476,15639901,17359120,19099584,20909895,22737056,23619356,25199748,26601467,27949944,29373646,30973354,31376671
Philippines,26273025,29962876,33797042,37925400,42461193,47396968,52873974,58845205,65075486,68236230,74693695,81352060,87809419,93726624,100102249,101716359
Poland,29637450,31139450,32294655,33055650,34356300,35574150,36904134,37824487,38363667,38542652,38663481,38230364,38141267,38042794,38011735,37986412
